collection;deck;question;correct_answer;wrong_answer_1;wrong_answer_2;wrong_answer_3;hint;explanation;level;difficulty;tags;source;cloze_text;accepted_answers;cloze_answers;cloze_word_bank
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelles obligations conditionnent l’exonération en matière de caching ?;Ne pas modifier l’information, respecter les normes de mise à jour, ne pas entraver les mesures licites et retirer rapidement certaines données;Modifier l’information, ignorer les normes de cache, bloquer les outils de mesure et conserver les données illicites;Publier tous les contenus, supprimer les plaintes internes, refuser les audits et filtrer sans notification;Obtenir une licence, rémunérer les créateurs, désigner un représentant et saisir un juge;Regarde les conditions techniques et le devoir d’effacement rapide.;Pour bénéficier de l’exonération, le caching doit rester technique et neutre, respecter les normes, ne pas entraver les mesures licites et retirer rapidement les données devenues inaccessibles ou illicites.;3;avancé;dsa|caching|exoneration;Chapitre 3 - p. 17;Le caching est exonéré s’il respecte plusieurs devoirs, dont {{ne pas modifier l’information et retirer rapidement certaines données}}.;ne pas modifier l’information et retirer rapidement certaines données|conditions d’exonération du caching;ne pas modifier l’information et retirer rapidement certaines données;ne pas modifier l’information et retirer rapidement certaines données|Modifier l’information, ignorer les normes de cache, bloquer les outils de mesure et conserver les données illicites|Publier tous les contenus, supprimer les plaintes internes, refuser les audits et filtrer sans notification|Obtenir une licence, rémunérer les créateurs, désigner un représentant et saisir un juge
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Qu’est-ce que l’hébergement ou hosting selon le DSA ?;Le stockage de contenus à la demande de l’utilisateur;La transmission technique de données sans stockage;Le stockage automatique destiné à optimiser la transmission;La création obligatoire de contenus par une plateforme;-;L’hébergement consiste à stocker des contenus à la demande de l’utilisateur.;1;facile;dsa|hosting|definition;Chapitre 3 - p. 18;Le hosting est {{le stockage de contenus à la demande de l’utilisateur}}.;stockage de contenus à la demande de l’utilisateur|le stockage de contenus à la demande de l’utilisateur;le stockage de contenus à la demande de l’utilisateur;le stockage de contenus à la demande de l’utilisateur|La transmission technique de données sans stockage|Le stockage automatique destiné à optimiser la transmission|La création obligatoire de contenus par une plateforme
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels exemples sont donnés pour l’hébergement ?;OVH, Wordpress.com et Dropbox;Proximus, Orange et Telenet;Cloudflare, Akamai et DNS;Facebook, TikTok et Google Search;-;Le document cite OVH, Wordpress.com et Dropbox comme exemples d’hébergement.;1;facile;dsa|hosting|exemples;Chapitre 3 - p. 18;Les exemples d’hébergement sont {{OVH, Wordpress.com et Dropbox}}.;OVH, Wordpress.com et Dropbox|OVH Wordpress.com Dropbox;OVH, Wordpress.com et Dropbox;OVH, Wordpress.com et Dropbox|Proximus, Orange et Telenet|Cloudflare, Akamai et DNS|Facebook, TikTok et Google Search
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle condition de connaissance permet l’exonération de l’hébergeur ?;Ne pas avoir connaissance effective de l’illicéité;Avoir connaissance générale de tous les contenus publiés;Ignorer toute décision judiciaire ou administrative reçue;Sélectionner activement les contenus illicites à diffuser;-;L’hébergeur peut être exonéré s’il n’a pas connaissance effective de l’illicéité.;1;facile;dsa|hosting|connaissance-effective;Chapitre 3 - p. 18;L’hébergeur est exonéré s’il n’a pas {{connaissance effective de l’illicéité}}.;connaissance effective de l’illicéité|connaissance effective de l'illicéité;connaissance effective de l’illicéité;connaissance effective de l’illicéité|Avoir connaissance générale de tous les contenus publiés|Ignorer toute décision judiciaire ou administrative reçue|Sélectionner activement les contenus illicites à diffuser
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que doit faire l’hébergeur lorsqu’un contenu illicite est correctement notifié ?;Agir promptement pour retirer ou rendre inaccessible le contenu;Conserver le contenu jusqu’à la fin d’un audit externe annuel;Transmettre le contenu aux moteurs de recherche sans modification;Supprimer seulement les comptes des titulaires de droits;Pense à la réactivité exigée après notification.;L’hébergeur doit agir promptement pour retirer ou rendre inaccessible le contenu dès qu’il est correctement notifié.;2;moyen;dsa|hosting|retrait|notice-and-action;Chapitre 3 - p. 18;Après notification correcte, l’hébergeur doit {{retirer ou rendre inaccessible le contenu}}.;retirer ou rendre inaccessible le contenu|agir promptement pour retirer ou rendre inaccessible le contenu;retirer ou rendre inaccessible le contenu;retirer ou rendre inaccessible le contenu|Conserver le contenu jusqu’à la fin d’un audit externe annuel|Transmettre le contenu aux moteurs de recherche sans modification|Supprimer seulement les comptes des titulaires de droits
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Dans quels cas l’hébergeur doit-il agir promptement selon l’article 6 DSA ?;Après notification correcte ou décision judiciaire ou administrative;Après publication initiale de tout contenu, même manifestement licite;Après simple demande commerciale d’un annonceur privé;Après expiration automatique d’une licence de presse inexistante;Deux déclencheurs sont cités.;Le document mentionne deux déclencheurs : une notification correcte via notice and action ou une décision judiciaire ou administrative.;2;moyen;dsa|hosting|decision|notification;Chapitre 3 - p. 18;L’hébergeur doit agir après {{notification correcte ou décision judiciaire ou administrative}}.;notification correcte ou décision judiciaire ou administrative|notification ou décision judiciaire/administrative;notification correcte ou décision judiciaire ou administrative;notification correcte ou décision judiciaire ou administrative|Après publication initiale de tout contenu, même manifestement licite|Après simple demande commerciale d’un annonceur privé|Après expiration automatique d’une licence de presse inexistante
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle formule résume l’exonération de l’hébergeur ?;Une exonération sous condition de réactivité;Une exonération absolue sans devoir après notification;Une responsabilité automatique sans possibilité d’exonération;Une exemption réservée aux VLOPs et VLOSEs uniquement;Regarde la phrase de synthèse signalée par le point d’attention.;Le document résume l’hébergement par une exonération sous condition de réactivité : l’hébergeur doit coopérer activement après notification.;2;moyen;dsa|hosting|exoneration;Chapitre 3 - p. 18;L’hébergement bénéficie d’{{une exonération sous condition de réactivité}}.;exonération sous condition de réactivité|une exonération sous condition de réactivité;une exonération sous condition de réactivité;une exonération sous condition de réactivité|Une exonération absolue sans devoir après notification|Une responsabilité automatique sans possibilité d’exonération|Une exemption réservée aux VLOPs et VLOSEs uniquement
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Qu’est-ce que le mécanisme de notice and action ?;Une procédure normalisée permettant de signaler un contenu illicite à une plateforme d’hébergement;Une procédure de licence automatique pour tous les contenus protégés;Une procédure judiciaire obligatoire avant tout signalement en ligne;Une procédure de taxation des plateformes selon leur chiffre d’affaires;-;Le mécanisme notice and action est la procédure standardisée du DSA permettant de signaler un contenu illicite à une plateforme d’hébergement.;1;facile;notice-and-action|dsa|definition;Chapitre 3 - p. 19;Le notice and action est {{une procédure normalisée permettant de signaler un contenu illicite}}.;procédure normalisée permettant de signaler un contenu illicite|procédure de signalement;une procédure normalisée permettant de signaler un contenu illicite;une procédure normalisée permettant de signaler un contenu illicite|Une procédure de licence automatique pour tous les contenus protégés|Une procédure judiciaire obligatoire avant tout signalement en ligne|Une procédure de taxation des plateformes selon leur chiffre d’affaires
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;À qui le mécanisme notice and action permet-il de signaler un contenu illicite ?;À une plateforme d’hébergement;À un auteur ayant cédé ses droits;À un fournisseur d’accès uniquement;À un éditeur de presse seulement;-;Le mécanisme permet de signaler un contenu illicite à une plateforme d’hébergement, comme un réseau social, forum ou marketplace.;1;facile;notice-and-action|hebergement;Chapitre 3 - p. 19;Le mécanisme permet de signaler un contenu illicite à {{une plateforme d’hébergement}}.;plateforme d’hébergement|une plateforme d’hébergement;une plateforme d’hébergement;une plateforme d’hébergement|À un auteur ayant cédé ses droits|À un fournisseur d’accès uniquement|À un éditeur de presse seulement
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelles plateformes sont citées comme exemples dans le mécanisme notice and action ?;Réseaux sociaux, forums et marketplaces;Fournisseurs d’accès, opérateurs réseau et DNS;Tribunaux, administrations et coordinateurs nationaux;Auteurs, interprètes et éditeurs de presse;-;Le document cite les réseaux sociaux, forums et marketplaces comme plateformes d’hébergement concernées.;1;facile;notice-and-action|plateformes;Chapitre 3 - p. 19;Le mécanisme concerne notamment {{les réseaux sociaux, forums et marketplaces}}.;réseaux sociaux, forums et marketplaces;les réseaux sociaux, forums et marketplaces;les réseaux sociaux, forums et marketplaces|Fournisseurs d’accès, opérateurs réseau et DNS|Tribunaux, administrations et coordinateurs nationaux|Auteurs, interprètes et éditeurs de presse
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle exigence d’accessibilité s’applique au système notice and action ?;Il doit être facilement accessible, compréhensible et fonctionnel;Il doit être réservé aux avocats et aux autorités judiciaires;Il doit être caché pour limiter les signalements abusifs;Il doit être disponible seulement en anglais technique;-;Le tableau indique que le système doit être accessible, clair, compréhensible et fonctionnel, avec une interface claire et une langue compréhensible.;1;facile;notice-and-action|accessibilite;Chapitre 3 - p. 20;Le système notice and action doit être {{facilement accessible, compréhensible et fonctionnel}}.;facilement accessible, compréhensible et fonctionnel|accessible, compréhensible et fonctionnel;facilement accessible, compréhensible et fonctionnel;facilement accessible, compréhensible et fonctionnel|Il doit être réservé aux avocats et aux autorités judiciaires|Il doit être caché pour limiter les signalements abusifs|Il doit être disponible seulement en anglais technique
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que doit inclure une notification pour être juridiquement valable ?;Certains éléments obligatoires;Uniquement le nom de la plateforme;Uniquement une capture sans explication;Aucun élément précis en particulier;-;Le document précise que la notification doit inclure certains éléments obligatoires pour être juridiquement valable.;1;facile;notice-and-action|notification|validite;Chapitre 3 - p. 20;Pour être juridiquement valable, la notification doit inclure {{certains éléments obligatoires}}.;éléments obligatoires|certains éléments obligatoires;certains éléments obligatoires;certains éléments obligatoires|Uniquement le nom de la plateforme|Uniquement une capture sans explication|Aucun élément précis en particulier
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels éléments requis doivent figurer dans une notification notice and action ?;Lien ou description du contenu, raisons d’illicéité, coordonnées du notifiant et déclaration de bonne foi;Nom du juge compétent, numéro de TVA, licence de presse et rapport d’audit externe;Seuil d’utilisateurs, chiffre d’affaires, algorithme de recommandation et rapport annuel;Identité du créateur, montant de rémunération, cession de droits et contrat publicitaire;Revois la liste des éléments requis.;Le tableau exige un lien ou une description précise, les raisons pour lesquelles le contenu est illicite, les coordonnées du notifiant et une déclaration d’exactitude de bonne foi.;3;avancé;notice-and-action|notification|elements;Chapitre 3 - p. 20;Une notification doit contenir {{le lien ou la description du contenu, les raisons d’illicéité, les coordonnées du notifiant et une déclaration de bonne foi}}.;lien ou description du contenu, raisons d’illicéité, coordonnées du notifiant et déclaration de bonne foi;le lien ou la description du contenu, les raisons d’illicéité, les coordonnées du notifiant et une déclaration de bonne foi;le lien ou la description du contenu, les raisons d’illicéité, les coordonnées du notifiant et une déclaration de bonne foi|Nom du juge compétent, numéro de TVA, licence de presse et rapport d’audit externe|Seuil d’utilisateurs, chiffre d’affaires, algorithme de recommandation et rapport annuel|Identité du créateur, montant de rémunération, cession de droits et contrat publicitaire
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle obligation de traitement pèse sur la plateforme après notification ?;Traiter rapidement la notification et informer le notifiant de la décision prise;Ignorer la notification jusqu’à une décision judiciaire définitive;Transférer automatiquement la notification aux autres utilisateurs;Publier la notification dans un rapport d’audit sans décision individuelle;La plateforme doit répondre et décider.;La plateforme doit traiter rapidement la notification et informer le notifiant de la décision prise.;2;moyen;notice-and-action|traitement;Chapitre 3 - p. 20;Après notification, la plateforme doit {{traiter rapidement la notification et informer le notifiant}}.;traiter rapidement la notification et informer le notifiant|traiter rapidement et informer;traiter rapidement la notification et informer le notifiant;traiter rapidement la notification et informer le notifiant|Ignorer la notification jusqu’à une décision judiciaire définitive|Transférer automatiquement la notification aux autres utilisateurs|Publier la notification dans un rapport d’audit sans décision individuelle
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle obligation de transparence suit une décision de retrait ou de maintien ?;Expliquer les raisons du maintien ou du retrait du contenu;Masquer les raisons pour préserver le secret commercial;Publier seulement le nom du notifiant sans justification;Supprimer toute trace de la décision de modération;-;La plateforme doit expliquer les raisons du maintien ou du retrait du contenu, ce qui protège la transparence.;1;facile;notice-and-action|transparence;Chapitre 3 - p. 20;La plateforme doit expliquer les raisons {{du maintien ou du retrait du contenu}}.;maintien ou retrait du contenu|du maintien ou du retrait du contenu;du maintien ou du retrait du contenu;du maintien ou du retrait du contenu|Masquer les raisons pour préserver le secret commercial|Publier seulement le nom du notifiant sans justification|Supprimer toute trace de la décision de modération
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels recours existent si l’auteur du contenu conteste la décision de la plateforme ?;Un système interne de traitement des plaintes et éventuellement un organisme indépendant de règlement des litiges;Une suppression définitive sans aucune possibilité de plainte;Une plainte obligatoire devant la Cour de justice de l’Union européenne;Une demande de licence auprès d’un éditeur de presse uniquement;Pense à l’article 20 DSA et à l’ADR.;Le document prévoit un recours via un système interne de traitement des plaintes et éventuellement un organisme indépendant de règlement des litiges.;3;avancé;notice-and-action|recours|plainte|adr;Chapitre 3 - p. 20;En cas de contestation, l’auteur peut utiliser {{un système interne de traitement des plaintes et éventuellement un organisme indépendant de règlement des litiges}}.;système interne de traitement des plaintes et organisme indépendant de règlement des litiges|système interne de plaintes et ADR;un système interne de traitement des plaintes et éventuellement un organisme indépendant de règlement des litiges;un système interne de traitement des plaintes et éventuellement un organisme indépendant de règlement des litiges|Une suppression définitive sans aucune possibilité de plainte|Une plainte obligatoire devant la Cour de justice de l’Union européenne|Une demande de licence auprès d’un éditeur de presse uniquement
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est un objectif du notice and action concernant les personnes touchées par des contenus illicites ?;Protéger leurs droits;Supprimer leurs recours internes;Limiter leur accès au signalement;Rendre leurs plaintes payantes et judiciaires;-;Le système notice and action vise notamment à protéger les droits des personnes concernées par des contenus illicites.;1;facile;notice-and-action|objectifs|droits;Chapitre 3 - p. 21;Le système vise à {{protéger les droits des personnes concernées}} par des contenus illicites.;protéger les droits des personnes concernées|protéger leurs droits;protéger les droits des personnes concernées;protéger les droits des personnes concernées|Supprimer leurs recours internes|Limiter leur accès au signalement|Rendre leurs plaintes payantes et judiciaires
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels exemples de contenus illicites sont associés au notice and action ?;Diffamation, discours haineux et contrefaçon;Licence, rémunération et cession de droits;Caching, mere conduit et hosting;Audit, rapport et accès chercheur;-;Le document cite la diffamation, le discours haineux et la contrefaçon comme exemples de contenus illicites.;1;facile;notice-and-action|contenus-illicites;Chapitre 3 - p. 21;Les exemples de contenus illicites sont {{diffamation, discours haineux et contrefaçon}}.;diffamation, discours haineux et contrefaçon;diffamation, discours haineux et contrefaçon;diffamation, discours haineux et contrefaçon|Licence, rémunération et cession de droits|Caching, mere conduit et hosting|Audit, rapport et accès chercheur
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Comment le notice and action préserve-t-il la liberté d’expression ?;Par des décisions motivées et proportionnées;Par des suppressions automatiques et non motivées;Par un filtrage généralisé sans notification;Par une absence totale de recours utilisateur;Regarde le lien entre motivation et proportionnalité.;Le document indique que le système doit préserver la liberté d’expression grâce à des décisions motivées et proportionnées.;2;moyen;notice-and-action|liberte-expression|motivation;Chapitre 3 - p. 21;Le notice and action préserve la liberté d’expression par {{des décisions motivées et proportionnées}}.;décisions motivées et proportionnées|des décisions motivées et proportionnées;des décisions motivées et proportionnées;des décisions motivées et proportionnées|Par des suppressions automatiques et non motivées|Par un filtrage généralisé sans notification|Par une absence totale de recours utilisateur
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que cherche à éviter le notice and action par rapport au filtrage généralisé ?;Les suppressions abusives ou automatiques;Les décisions motivées et proportionnées;La sécurité juridique des plateformes;Les signalements par formulaire;-;Le système vise à éviter les suppressions abusives ou automatiques et se distingue du filtrage généralisé.;1;facile;notice-and-action|filtrage|suppression;Chapitre 3 - p. 21;Le notice and action vise à éviter {{les suppressions abusives ou automatiques}}.;suppressions abusives ou automatiques|les suppressions abusives ou automatiques;les suppressions abusives ou automatiques;les suppressions abusives ou automatiques|Les décisions motivées et proportionnées|La sécurité juridique des plateformes|Les signalements par formulaire
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Dans l’exemple du faux profil, que fait l’utilisateur pour activer le notice and action ?;Il utilise le formulaire de signalement pour soumettre une notification valide;Il demande immédiatement un audit externe de la plateforme;Il contacte directement la Commission européenne sans signalement;Il publie les données personnelles de la plateforme en réponse;L’exemple parle du formulaire “signaler”.;Dans l’exemple, l’utilisateur découvre un faux profil usurpant son identité et utilise le formulaire de signalement pour soumettre une notification valide.;2;moyen;notice-and-action|exemple|faux-profil;Chapitre 3 - p. 21;Dans l’exemple, l’utilisateur soumet {{une notification valide}} via le formulaire de signalement.;notification valide|une notification valide;une notification valide;une notification valide|Il demande immédiatement un audit externe de la plateforme|Il contacte directement la Commission européenne sans signalement|Il publie les données personnelles de la plateforme en réponse
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que doit faire la plateforme dans l’exemple du faux profil après le signalement ?;Analyser le signalement, prendre une décision et la communiquer clairement;Supprimer automatiquement tous les profils similaires sans analyse;Transférer le signalement à l’utilisateur visé sans décision;Ignorer le signalement jusqu’à une décision pénale;Pense aux trois actions attendues.;La plateforme doit analyser le signalement dans un délai raisonnable, prendre une décision et la communiquer clairement.;2;moyen;notice-and-action|exemple|traitement;Chapitre 3 - p. 21;Après signalement, la plateforme doit {{analyser, décider et communiquer clairement}}.;analyser le signalement, prendre une décision et la communiquer clairement|analyser, décider et communiquer clairement;analyser, décider et communiquer clairement;analyser, décider et communiquer clairement|Supprimer automatiquement tous les profils similaires sans analyse|Transférer le signalement à l’utilisateur visé sans décision|Ignorer le signalement jusqu’à une décision pénale
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Qu’est-ce qu’une plateforme en ligne selon le DSA ?;Un hébergeur permettant aux utilisateurs de diffuser publiquement du contenu ou d’interagir publiquement avec d’autres;Un fournisseur d’accès qui transmet techniquement des données sans stockage;Un service de cache qui optimise la transmission ultérieure des données;Un organisme public qui contrôle les plaintes des utilisateurs belges;La définition combine hébergement et interaction publique.;Une plateforme est un hébergeur qui permet la diffusion publique de contenu ou l’interaction publique entre utilisateurs.;2;moyen;dsa|plateformes|definition;Chapitre 3 - p. 22;Une plateforme en ligne est {{un hébergeur permettant la diffusion ou l’interaction publique}}.;hébergeur permettant la diffusion ou l’interaction publique|hébergeur permettant aux utilisateurs de diffuser ou interagir publiquement;un hébergeur permettant la diffusion ou l’interaction publique;un hébergeur permettant la diffusion ou l’interaction publique|Un fournisseur d’accès qui transmet techniquement des données sans stockage|Un service de cache qui optimise la transmission ultérieure des données|Un organisme public qui contrôle les plaintes des utilisateurs belges
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels exemples de plateformes en ligne sont donnés ?;YouTube, Facebook et Amazon Marketplace;Proximus, Orange et Telenet;Cloudflare, Akamai et CDN;IBPT, APD et CSA;-;Le document cite YouTube, Facebook et Amazon Marketplace comme exemples de plateformes en ligne.;1;facile;dsa|plateformes|exemples;Chapitre 3 - p. 22;Les exemples de plateformes sont {{YouTube, Facebook et Amazon Marketplace}}.;YouTube, Facebook et Amazon Marketplace;YouTube, Facebook et Amazon Marketplace;YouTube, Facebook et Amazon Marketplace|Proximus, Orange et Telenet|Cloudflare, Akamai et CDN|IBPT, APD et CSA
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelles obligations supplémentaires pèsent sur les plateformes en ligne ?;Signalement accessible, information des utilisateurs, traitement des plaintes, coopération avec les autorités et données d’identification;Simple transmission technique, absence de signalement, absence de plaintes et secret complet des décisions;Licence obligatoire, rémunération de presse, droit voisin et cession automatique des droits;Audit annuel systématique, accès chercheur obligatoire et évaluation des risques pour tous les forums;Pense aux obligations de gouvernance renforcées.;Les plateformes ont les conditions de base de l’hébergeur, plus des obligations de signalement, d’information, de traitement des plaintes et de coopération avec les autorités.;3;avancé;dsa|plateformes|obligations;Chapitre 3 - p. 22;Les plateformes doivent prévoir {{un signalement accessible, informer les utilisateurs, traiter les plaintes et coopérer avec les autorités}}.;signalement accessible, information des utilisateurs, traitement des plaintes, coopération avec les autorités|obligations supplémentaires des plateformes;un signalement accessible, informer les utilisateurs, traiter les plaintes et coopérer avec les autorités;un signalement accessible, informer les utilisateurs, traiter les plaintes et coopérer avec les autorités|Simple transmission technique, absence de signalement, absence de plaintes et secret complet des décisions|Licence obligatoire, rémunération de presse, droit voisin et cession automatique des droits|Audit annuel systématique, accès chercheur obligatoire et évaluation des risques pour tous les forums
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Comment le document résume-t-il la responsabilité des plateformes ?;Responsabilité allégée, mais obligations de gouvernance renforcées;Responsabilité automatique, sans obligations de gouvernance;Responsabilité supprimée, avec absence totale de transparence;Responsabilité pénale directe, sans recours interne possible;-;Le document résume les plateformes par une responsabilité allégée, mais des obligations de gouvernance renforcées.;1;facile;dsa|plateformes|responsabilite;Chapitre 3 - p. 22;Les plateformes ont une {{responsabilité allégée, mais des obligations de gouvernance renforcées}}.;responsabilité allégée, mais obligations de gouvernance renforcées;responsabilité allégée, mais des obligations de gouvernance renforcées;responsabilité allégée, mais des obligations de gouvernance renforcées|Responsabilité automatique, sans obligations de gouvernance|Responsabilité supprimée, avec absence totale de transparence|Responsabilité pénale directe, sans recours interne possible
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que sont les VLOPs et VLOSEs ?;Des plateformes ou moteurs de recherche avec plus de 45 millions d’utilisateurs actifs mensuels dans l’UE;Des hébergeurs locaux avec moins de 45 millions d’utilisateurs dans l’UE;Des fournisseurs d’accès nationaux qui transmettent seulement des données;Des organismes de règlement extrajudiciaire certifiés par l’IBPT;-;Les VLOPs et VLOSEs sont des très grandes plateformes ou moteurs de recherche dépassant 45 millions d’utilisateurs actifs mensuels dans l’Union européenne.;1;facile;dsa|vlop|vlose|definition;Chapitre 3 - p. 23;Les VLOPs et VLOSEs ont plus de {{45 millions d’utilisateurs actifs mensuels dans l’UE}}.;45 millions d’utilisateurs actifs mensuels dans l’UE|plus de 45 millions d’utilisateurs actifs mensuels dans l’UE;45 millions d’utilisateurs actifs mensuels dans l’UE;45 millions d’utilisateurs actifs mensuels dans l’UE|Des hébergeurs locaux avec moins de 45 millions d’utilisateurs dans l’UE|Des fournisseurs d’accès nationaux qui transmettent seulement des données|Des organismes de règlement extrajudiciaire certifiés par l’IBPT
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels risques systémiques sont cités pour les VLOPs et VLOSEs ?;Désinformation, atteintes aux droits fondamentaux et sécurité des mineurs;Absence de licence, défaut de rémunération et cession abusive de droits;Caches techniques, normes de mise à jour et technologies de mesure;Transmission réseau, choix du destinataire et modification des données;Pense aux risques sociaux et fondamentaux.;Le document cite la désinformation, les atteintes aux droits fondamentaux et la sécurité des mineurs comme risques systémiques.;2;moyen;dsa|vlop|risques-systemiques;Chapitre 3 - p. 23;Les risques systémiques incluent {{la désinformation, les atteintes aux droits fondamentaux et la sécurité des mineurs}}.;désinformation, atteintes aux droits fondamentaux et sécurité des mineurs;la désinformation, les atteintes aux droits fondamentaux et la sécurité des mineurs;la désinformation, les atteintes aux droits fondamentaux et la sécurité des mineurs|Absence de licence, défaut de rémunération et cession abusive de droits|Caches techniques, normes de mise à jour et technologies de mesure|Transmission réseau, choix du destinataire et modification des données
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelles obligations systémiques pèsent sur les VLOPs et VLOSEs ?;Évaluation des risques, réduction des risques, audits externes, rapports de transparence et accès aux données pour chercheurs agréés;Simple retrait des contenus notifiés, absence d’audit, secret des données et refus de coopération scientifique;Transmission passive des données, absence de modification et non-sélection du destinataire uniquement;Rémunération des éditeurs de presse, licences obligatoires et cession des droits voisins uniquement;Revois la liste complète des obligations systémiques.;Les VLOPs et VLOSEs doivent évaluer les risques, réduire ces risques, se soumettre à des audits, publier des rapports et donner accès à certaines données aux chercheurs agréés.;3;avancé;dsa|vlop|obligations-systemiques;Chapitre 3 - p. 23;Les VLOPs et VLOSEs doivent prévoir {{évaluation des risques, réduction des risques, audits externes, rapports de transparence et accès aux données}}.;évaluation des risques, réduction des risques, audits externes, rapports de transparence et accès aux données;évaluation des risques, réduction des risques, audits externes, rapports de transparence et accès aux données;évaluation des risques, réduction des risques, audits externes, rapports de transparence et accès aux données|Simple retrait des contenus notifiés, absence d’audit, secret des données et refus de coopération scientifique|Transmission passive des données, absence de modification et non-sélection du destinataire uniquement|Rémunération des éditeurs de presse, licences obligatoires et cession des droits voisins uniquement
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est l’objectif des obligations imposées aux VLOPs et VLOSEs ?;Encadrer les géants du numérique et limiter leur pouvoir de nuisance;Favoriser leur absence de transparence et leur pouvoir de modération privé;Supprimer les droits fondamentaux au profit de la publicité numérique;Limiter les signalements aux contenus de droit d’auteur uniquement;-;Le document précise que ces obligations visent à encadrer les géants du numérique et à limiter leur pouvoir de nuisance.;1;facile;dsa|vlop|objectif;Chapitre 3 - p. 23;L’objectif est d’{{encadrer les géants du numérique et limiter leur pouvoir de nuisance}}.;encadrer les géants du numérique et limiter leur pouvoir de nuisance;encadrer les géants du numérique et limiter leur pouvoir de nuisance;encadrer les géants du numérique et limiter leur pouvoir de nuisance|Favoriser leur absence de transparence et leur pouvoir de modération privé|Supprimer les droits fondamentaux au profit de la publicité numérique|Limiter les signalements aux contenus de droit d’auteur uniquement
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle autorité contrôle principalement les VLOPs et VLOSEs au niveau européen ?;La Commission européenne;L’IBPT;L’APD;Le CSA;-;Le document indique que la Commission européenne est l’autorité principale de contrôle pour les VLOPs et VLOSEs.;1;facile;dsa|commission-europeenne|controle;Chapitre 3 - p. 24;Au niveau européen, l’autorité principale de contrôle des VLOPs et VLOSEs est {{la Commission européenne}}.;Commission européenne|la Commission européenne;la Commission européenne;la Commission européenne|L’IBPT|L’APD|Le CSA
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle sanction financière maximale la Commission européenne peut-elle imposer ?;Une amende allant jusqu’à 6 % du chiffre d’affaires mondial annuel;Une amende allant jusqu’à 45 millions d’euros forfaitaires;Une amende égale à 15 % du chiffre d’affaires européen mensuel;Une amende limitée aux revenus publicitaires belges;-;Le document précise que la Commission peut imposer des amendes jusqu’à 6 % du chiffre d’affaires mondial annuel.;1;facile;dsa|commission|amende;Chapitre 3 - p. 24;La Commission peut imposer une amende jusqu’à {{6 % du chiffre d’affaires mondial annuel}}.;6 % du chiffre d’affaires mondial annuel|six pour cent du chiffre d’affaires mondial annuel;6 % du chiffre d’affaires mondial annuel;6 % du chiffre d’affaires mondial annuel|Une amende allant jusqu’à 45 millions d’euros forfaitaires|Une amende égale à 15 % du chiffre d’affaires européen mensuel|Une amende limitée aux revenus publicitaires belges
